REGION,YEAR,WEEK,LABEL,TOTAL CASES
California,2022,9,influenza,84
California,2022,10,influenza,105
California,2022,11,influenza,162
California,2022,12,influenza,245
California,2022,13,influenza,232
California,2022,14,influenza,257
California,2022,15,influenza,279
California,2022,16,influenza,373
California,2022,17,influenza,448
California,2022,18,influenza,548
California,2022,19,influenza,699
California,2022,20,influenza,979
California,2022,21,influenza,1181
California,2022,22,influenza,1182
California,2022,23,influenza,913
California,2022,24,influenza,514
California,2022,25,influenza,406
California,2022,26,influenza,306
California,2022,27,influenza,229
California,2022,28,influenza,135
California,2022,29,influenza,122
California,2022,30,influenza,92
California,2022,31,influenza,73
California,2022,32,influenza,64
California,2022,33,influenza,58
California,2022,34,influenza,83
California,2022,35,influenza,76
California,2022,36,influenza,106
California,2022,37,influenza,109
California,2022,38,influenza,135
California,2022,39,influenza,218
California,2022,40,influenza,294
California,2022,41,influenza,433
California,2022,42,influenza,649
California,2022,43,influenza,1022
California,2022,44,influenza,2111
California,2022,45,influenza,3726
California,2022,46,influenza,5255
California,2022,47,influenza,5941
California,2022,48,influenza,7525
California,2022,49,influenza,6530
California,2022,50,influenza,5087
California,2022,51,influenza,4280
California,2022,52,influenza,2667
California,2023,1,influenza,1158
California,2023,2,influenza,515
California,2023,3,influenza,247
California,2023,4,influenza,191
California,2023,5,influenza,159
California,2023,6,influenza,146
California,2023,7,influenza,93
California,2023,8,influenza,95
California,2023,9,influenza,93
California,2023,10,influenza,105
California,2023,11,influenza,70
California,2023,12,influenza,71
California,2023,13,influenza,68
California,2023,14,influenza,63
California,2023,15,influenza,34
California,2023,16,influenza,25
California,2023,17,influenza,30
California,2023,18,influenza,24
California,2023,19,influenza,25
California,2023,20,influenza,39
California,2023,21,influenza,37
California,2023,22,influenza,40
California,2023,23,influenza,35
California,2023,24,influenza,29
California,2023,25,influenza,34
California,2023,26,influenza,51
California,2023,27,influenza,51
California,2023,28,influenza,39
California,2023,29,influenza,47
California,2023,30,influenza,50
California,2023,31,influenza,45
California,2023,32,influenza,47
California,2023,33,influenza,38
California,2023,34,influenza,33
California,2023,35,influenza,41
California,2023,36,influenza,35
California,2023,37,influenza,33
California,2023,38,influenza,32
California,2023,39,influenza,25
California,2023,40,influenza,31
California,2023,41,influenza,43
California,2023,42,influenza,64
California,2023,43,influenza,78
California,2023,44,influenza,329
California,2023,45,influenza,748
California,2023,46,influenza,1088
California,2023,47,influenza,1108
California,2023,48,influenza,1838
California,2023,49,influenza,2716
California,2023,50,influenza,3905
California,2023,51,influenza,5691
California,2023,52,influenza,4496
California,2024,1,influenza,3387
California,2024,2,influenza,2602
California,2024,3,influenza,2644
California,2024,4,influenza,2074
California,2024,5,influenza,1626
California,2024,6,influenza,1109
California,2024,7,influenza,1284
California,2024,8,influenza,1009
California,2024,9,influenza,929
California,2024,10,influenza,868
California,2024,11,influenza,809
California,2024,12,influenza,814
California,2024,13,influenza,636
California,2024,14,influenza,577
California,2024,15,influenza,592
California,2024,16,influenza,622
California,2024,17,influenza,516
California,2024,18,influenza,274
California,2024,19,influenza,105
California,2024,20,influenza,80
California,2024,21,influenza,75
California,2024,22,influenza,70
California,2024,23,influenza,92
California,2024,24,influenza,71
California,2024,25,influenza,62
California,2024,26,influenza,27
California,2024,27,influenza,72
California,2024,28,influenza,52
California,2024,29,influenza,40
California,2024,30,influenza,23
California,2024,31,influenza,36
California,2024,32,influenza,42
California,2024,33,influenza,30
California,2024,34,influenza,31
California,2024,35,influenza,38
California,2024,36,influenza,32
California,2024,37,influenza,26
California,2024,38,influenza,29
California,2024,39,influenza,45
California,2024,40,influenza,102
California,2024,41,influenza,156
California,2024,42,influenza,166
California,2024,43,influenza,193
California,2024,44,influenza,237
California,2024,45,influenza,313
California,2024,46,influenza,552
California,2024,47,influenza,758
California,2024,48,influenza,1004
California,2024,49,influenza,1613
California,2024,50,influenza,2489
California,2024,51,influenza,4585
California,2024,52,influenza,5546
California,2025,1,influenza,5315
California,2025,2,influenza,5634
California,2025,3,influenza,6670
California,2025,4,influenza,8072
California,2025,5,influenza,9975
California,2025,6,influenza,9503
California,2025,7,influenza,7481
California,2025,8,influenza,5475
California,2025,9,influenza,3933
California,2025,10,influenza,2672
California,2025,11,influenza,2347
California,2025,12,influenza,2127
California,2025,13,influenza,1829
California,2025,14,influenza,1471
California,2025,15,influenza,1146
California,2025,16,influenza,903
California,2025,17,influenza,714
California,2025,18,influenza,419
California,2025,19,influenza,105
California,2025,20,influenza,95
California,2025,21,influenza,92
California,2025,22,influenza,72
California,2025,23,influenza,78
California,2025,24,influenza,61
California,2025,25,influenza,40
California,2025,26,influenza,20
California,2025,27,influenza,29
California,2025,28,influenza,39
California,2025,29,influenza,28
California,2025,30,influenza,11
California,2025,31,influenza,23
California,2025,32,influenza,24
California,2025,33,influenza,24
California,2025,34,influenza,24
California,2025,35,influenza,26
California,2025,36,influenza,27
California,2025,37,influenza,27
California,2025,38,influenza,21
