YEAR,WEEK,TAVG,TMAX,TMIN
2022,20,17.057142857142857,28.3,6.7
2022,21,17.414285714285715,30.6,5.6
2022,22,16.6,27.8,7.8
2022,23,20.385714285714283,32.8,7.8
2022,24,15.614285714285714,29.4,6.1
2022,25,25.2,33.3,15.6
2022,26,19.3,34.4,7.2
2022,27,18.185714285714287,30.0,10.6
2022,28,24.342857142857145,34.4,12.8
2022,29,25.2,32.8,17.2
2022,30,22.957142857142856,31.7,17.2
2022,31,21.857142857142858,32.8,10.6
2022,32,21.214285714285715,31.7,11.7
2022,33,25.957142857142856,33.3,16.1
2022,34,21.928571428571427,31.7,13.9
2022,35,27.071428571428573,36.7,18.9
2022,36,29.099999999999998,41.7,16.1
2022,37,14.257142857142856,28.3,8.3
2022,38,17.928571428571427,28.3,10.0
2022,39,19.142857142857142,27.8,9.4
2022,40,23.142857142857142,30.0,15.0
2022,41,20.32857142857143,29.4,10.0
2022,42,18.17142857142857,31.1,6.1
2022,43,13.5,21.7,7.8
2022,44,8.528571428571428,18.9,2.2
2022,45,6.328571428571428,12.2,2.8
2022,46,11.457142857142857,18.3,5.6
2022,47,13.799999999999999,18.3,8.9
2022,48,5.828571428571428,11.7,0.6
2022,49,5.485714285714286,10.0,1.1
2022,50,6.728571428571428,13.9,1.7
2022,51,11.528571428571428,23.3,4.4
2022,52,8.528571428571428,17.2,3.3
2023,1,7.0,10.6,3.9
2023,2,7.5,11.1,3.3
2023,3,5.242857142857143,12.8,1.7
2023,4,8.971428571428572,16.7,1.1
2023,5,7.042857142857143,13.3,0.0
2023,6,9.685714285714285,20.6,1.7
2023,7,6.928571428571429,16.1,0.0
2023,8,3.6,17.8,-2.8
2023,9,3.1999999999999997,11.7,-1.7
2023,10,5.5,10.0,0.0
2023,11,8.157142857142857,14.4,0.0
2023,12,3.9428571428571426,10.0,-0.6
2023,13,4.885714285714286,13.3,0.6
2023,14,7.557142857142858,20.6,-0.6
2023,15,8.971428571428572,21.1,1.7
2023,16,10.928571428571429,22.8,1.7
2023,17,18.0,26.1,4.4
2023,18,6.071428571428571,13.3,3.3
2023,19,13.157142857142858,28.3,3.9
2023,20,19.785714285714285,28.9,12.2
2023,21,10.62857142857143,24.4,4.4
2023,22,13.657142857142857,25.6,5.0
2023,23,11.87142857142857,22.2,7.2
2023,24,15.971428571428572,26.1,6.1
2023,25,11.428571428571429,20.6,5.6
2023,26,23.085714285714285,35.6,8.9
2023,27,17.985714285714288,28.9,5.6
2023,28,24.842857142857145,35.0,9.4
2023,29,26.585714285714285,36.1,18.3
2023,30,23.12857142857143,31.7,16.7
2023,31,21.014285714285712,32.8,8.9
2023,32,21.357142857142858,31.7,12.8
2023,33,25.099999999999998,33.3,11.7
